Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US92561,92561,1462,58.1,45,88,92,3,62,50,81,23,85,117,138,231,221,77,105,13,25,0.4,3.1,6,6.3,0.2,4.2,3.4,5.5,1.6,5.8,8,9.4,15.8,15.1,5.3,7.2,0.9,1.7
8600000US92562,92562,64286,37.3,4517,5153,4901,3976,4236,3486,3669,4147,4019,4634,4720,3134,2900,2123,1773,1186,1610,6.4,7,8,7.6,6.2,6.6,5.4,5.7,6.5,6.3,7.2,7.3,4.9,4.5,3.3,2.8,1.8,2.5
8600000US92563,92563,69469,32.1,5295,6753,5882,4231,5196,4775,4785,5105,5147,3789,3585,2193,2322,1731,1503,623,879,8.2,7.6,9.7,8.5,6.1,7.5,6.9,6.9,7.3,7.4,5.5,5.2,3.2,3.3,2.5,2.2,0.9,1.3
8600000US92567,92567,10648,31.2,831,910,925,867,908,771,627,373,761,634,576,510,331,428,245,157,92,6.6,7.8,8.5,8.7,8.1,8.5,7.2,5.9,3.5,7.1,6,5.4,4.8,3.1,4,2.3,1.5,0.9
8600000US92570,92570,60686,30.9,4789,4974,5133,5425,4470,4151,3670,3483,4141,3547,3306,2900,2179,1326,1132,633,724,7.7,7.9,8.2,8.5,8.9,7.4,6.8,6,5.7,6.8,5.8,5.4,4.8,3.6,2.2,1.9,1,1.2
8600000US92571,92571,57622,28.6,4780,5860,5329,4619,4443,4269,4102,3833,3700,3836,2545,1836,1424,878,758,416,154,8.4,8.3,10.2,9.2,8,7.7,7.4,7.1,6.7,6.4,6.7,4.4,3.2,2.5,1.5,1.3,0.7,0.3
8600000US92582,92582,17219,28.7,1360,1798,1439,1294,1482,1097,1212,1088,1203,1148,860,429,604,207,195,79,240,8.6,7.9,10.4,8.4,7.5,8.6,6.4,7,6.3,7,6.7,5,2.5,3.5,1.2,1.1,0.5,1.4
8600000US92583,92583,32697,35.2,2358,2421,2838,2427,2193,1835,1943,2152,2097,1792,1883,1953,1570,1333,755,538,422,6.7,7.2,7.4,8.7,7.4,6.7,5.6,5.9,6.6,6.4,5.5,5.8,6,4.8,4.1,2.3,1.6,1.3
8600000US92584,92584,54235,33.2,4316,4700,3934,3021,4852,3744,3699,3675,3313,3319,2934,2444,1883,1652,1273,896,674,7.2,8,8.7,7.3,5.6,8.9,6.9,6.8,6.8,6.1,6.1,5.4,4.5,3.5,3,2.3,1.7,1.2
8600000US92585,92585,21907,35.1,1430,1354,2090,1793,1379,1406,1372,1610,1517,1237,1445,986,832,533,703,434,307,6.8,6.5,6.2,9.5,8.2,6.3,6.4,6.3,7.3,6.9,5.6,6.6,4.5,3.8,2.4,3.2,2,1.4
